Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_1_old.wcnf,1,60,True,0.0728841,11.0603,350793.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.9_6_old.wcnf,1,60,True,0.0318808,0.182685,282321.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.1_1_old.wcnf,1,60,True,1.73035,27.9465,59217.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.4_7_old.wcnf,1,60,True,2.43166,46.0269,189712.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_4_old.wcnf,1,60,True,1.66869,37.9131,202345.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_5_old.wcnf,1,60,True,1.88993,31.9436,182756.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_7_old.wcnf,1,60,True,2.59853,57.9295,200617.0,Host-NuWLS,NuWLS,False,True
pseudoBoolean_wt-normalized-mps-v2-20-10-sentoy.opb.msat_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
railway-transport_wt-bf2030fvslack_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
railway-transport_wt-f2030_old.wcnf,1,60,True,6.2292,18.7796,4863.0,Host-NuWLS,NuWLS,False,True
railway-transport_wt-r11_old.wcnf,1,60,True,27.7594,36.7265,54951510.0,Host-NuWLS,NuWLS,False,True
railway-transport_wt-wg2_old.wcnf,1,60,True,5.46759,17.8215,168.0,Host-NuWLS,NuWLS,False,True
ramsey_wt-ram_k3_n14.ra1_old.wcnf,1,60,True,0.0314986,0.851112,3025.0,Host-NuWLS,NuWLS,False,True
ramsey_wt-ram_k3_n16.ra1_old.wcnf,1,60,True,0.0361053,0.126352,7271.0,Host-NuWLS,NuWLS,False,True
ramsey_wt-ram_k3_n19.ra1_old.wcnf,1,60,True,0.164503,26.8694,20665.0,Host-NuWLS,NuWLS,False,True
ramsey_wt-ram_k4_n19.ra1_old.wcnf,1,60,True,0.165493,49.8356,1226.0,Host-NuWLS,NuWLS,False,True
relational-inference_wt-pa-1_old.wcnf,1,60,True,2.84795,5.34677,8282.0,Host-NuWLS,NuWLS,False,True
relational-inference_wt-pa-2_old.wcnf,1,60,True,31.1353,31.2013,3093.0,Host-NuWLS,NuWLS,False,True
relational-inference_wt-pa-3_old.wcnf,1,60,True,26.312,46.8312,2967.0,Host-NuWLS,NuWLS,False,True
setcover_wt-rail2536_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
setcover_wt-rail4284_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
setcover_wt-rail4872_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
setcover_wt-rail507_old.wcnf,1,60,True,3.06599,42.8391,221.0,Host-NuWLS,NuWLS,False,True
shiftdesign_wt-limits-10-10_data-1_inst-084_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-1_inst-137_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-1_inst-182_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-2_inst-003_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-2_inst-025_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-2_inst-030_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-3_inst-002_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-3_inst-003_30m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
shiftdesign_wt-limits-10-10_data-4_inst-003_60m.sm-extracted_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
spot5_wt-1401.wcsp.log_old.wcnf,1,60,True,0.0569957,0.470818,459106.0,Host-NuWLS,NuWLS,False,True
spot5_wt-1403.wcsp.dir_old.wcnf,1,60,True,0.18625,1.07245,459247.0,Host-NuWLS,NuWLS,False,True
