Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict300,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict300,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict300,WinStrict300,UniqueWinStrict300,SharedWinStrict300
24-wpms-300s,NuWLS-c-FPS,NFPS,railway_transport_wt_bf2030fvslack_old,railway-transport_wt-bf2030fvslack_old.wcnf,True,True,245735.0,92.78362,13.989793,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,245735.0,True,False,True,245735.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,railway_transport_wt_f2030_old,railway-transport_wt-f2030_old.wcnf,True,True,4456.0,7.022584,0.963557,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,4324.0,False,False,False,4324.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,railway_transport_wt_r11_old,railway-transport_wt-r11_old.wcnf,True,True,47970625.0,190.542988,8.863139,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,45633147.0,False,False,False,45633147.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,railway_transport_wt_wg2_old,railway-transport_wt-wg2_old.wcnf,True,True,96.0,65.218905,1.980712,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,78.0,False,False,False,78.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,ramsey_wt_ram_k3_n11_ra1_old,ramsey_wt-ram_k3_n11.ra1_old.wcnf,True,True,318.0,0.635838,0.034057,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,318.0,True,False,True,318.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,ramsey_wt_ram_k3_n12_ra1_old,ramsey_wt-ram_k3_n12.ra1_old.wcnf,True,True,524.0,0.129875,0.026798,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,524.0,True,False,True,524.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,ramsey_wt_ram_k3_n17_ra1_old,ramsey_wt-ram_k3_n17.ra1_old.wcnf,True,True,10372.0,1.351774,0.033724,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,10372.0,True,False,True,10372.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,ramsey_wt_ram_k3_n18_ra1_old,ramsey_wt-ram_k3_n18.ra1_old.wcnf,True,True,15621.0,7.867765,0.038076,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,15621.0,True,False,True,15621.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,relational_inference_wt_ar_2_old,relational-inference_wt-ar-2_old.wcnf,True,True,409686.0,2.733833,1.195504,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,394787.0,False,False,False,394787.0,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,relational_inference_wt_pa_1_old,relational-inference_wt-pa-1_old.wcnf,True,True,866.0,8.997709,5.182283,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,866.0,True,True,False,866.0,True,True,False
24-wpms-300s,NuWLS-c-FPS,NFPS,relational_inference_wt_pa_2_old,relational-inference_wt-pa-2_old.wcnf,True,True,866.0,154.658505,43.963824,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,866.0,True,True,False,866.0,True,True,False
24-wpms-300s,NuWLS-c-FPS,NFPS,relational_inference_wt_pa_3_old,relational-inference_wt-pa-3_old.wcnf,True,True,965.0,84.36534,36.585929,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,965.0,True,True,False,965.0,True,True,False
